name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,big_mac_index,inflation_rate
Canada,CAN,CAD,2.85,1.47,22340.553,33191.468,2000-04-01,,
Canada,CAN,CAD,3.33,1.56,24296.721,36090.206,2001-04-01,16.84210526,3.5
Canada,CAN,CAD,3.33,1.57,23859.714,36954.878,2002-04-01,0,1.7
Canada,CAN,CAD,3.2,1.45,24279.186,38126.646,2003-04-01,-3.903903904,2.9
Canada,CAN,CAD,3.19,1.37,28338.745,39702.994,2004-05-01,-0.3125,2.4
Canada,CAN,CAD,3.28,1.2494,32176.593,41870.809,2005-06-01,2.821316614,1.7
Canada,CAN,CAD,3.52,1.12045,36439.62,44143.143,2006-05-01,7.317073171,2.8
Canada,CAN,CAD,3.88,1.05345,40558.897,46007.771,2007-06-01,10.22727273,2.2
Canada,CAN,CAD,4.09,1.00355,44716.985,48028.082,2008-06-01,5.412371134,3.1
Canada,CAN,CAD,3.89,1.16085,46773.837,49911.75,2009-07-01,-4.88997555,-0.9
Canada,CAN,CAD,4.17,1.04235,40990.625,46792.249,2010-07-01,7.197943445,1.8
Canada,CAN,CAD,4.73,0.94585,47627.345,49061.535,2011-07-01,13.42925659,2.7
Canada,CAN,CAD,5.12,1.01945,52285.937,51724.29,2012-07-01,8.245243129,1.3
Canada,CAN,CAD,5.53,1.05125,52744.004,52710.498,2013-07-01,8.0078125,1.3
Canada,CAN,CAD,5.64,1.07405,52708.61,54297.108,2014-07-01,1.98915009,2.1
Canada,CAN,CAD,5.85,1.2897,51020.843,56365.13,2015-07-01,3.723404255,1.3
Canada,CAN,CAD,6,1.303,43626.47,55788.928,2016-07-01,2.564102564,1.3
Canada,CAN,CAD,5.97,1.2823,42382.635,56183.063,2017-07-01,-0.5,1.2
Canada,CAN,CAD,6.65,1.31235,45191.993,58656.308,2018-07-01,11.39028476,3
Canada,CAN,CAD,6.77,1.31305,46625.859,60418.624,2019-07-09,1.804511278,2
Canada,CAN,CAD,6.88,1.3552,46403.986,61568.501,2020-07-01,1.624815362,0.1
Canada,CAN,CAD,6.77,1.2741,43306.635,58080.81,2021-07-01,-1.598837209,3.7
Canada,CAN,CAD,6.77,1.28915,52078.515,65300.047,2022-07-01,0,7.6
