name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,GDP_dollar,GDP_local,date,big_mac_index,inflation_rate
Canada,CAN,CAD,2.85,1.47,1.93877551,22340.553,33191.468,2000-04-01,,
Canada,CAN,CAD,3.33,1.56,2.134615385,24296.721,36090.206,2001-04-01,16.84210526,3.5
Canada,CAN,CAD,3.33,1.57,2.121019108,23859.714,36954.878,2002-04-01,0,1.7
Canada,CAN,CAD,3.2,1.45,2.206896552,24279.186,38126.646,2003-04-01,-3.903903904,2.9
Canada,CAN,CAD,3.19,1.37,2.328467153,28338.745,39702.994,2004-05-01,-0.3125,2.4
Canada,CAN,CAD,3.28,1.2494,2.625260125,32176.593,41870.809,2005-06-01,2.821316614,1.7
Canada,CAN,CAD,3.52,1.12045,3.141594895,36439.62,44143.143,2006-05-01,7.317073171,2.8
Canada,CAN,CAD,3.88,1.05345,3.683136361,40558.897,46007.771,2007-06-01,10.22727273,2.2
Canada,CAN,CAD,4.09,1.00355,4.075531862,44716.985,48028.082,2008-06-01,5.412371134,3.1
Canada,CAN,CAD,3.89,1.16085,3.350992807,46773.837,49911.75,2009-07-01,-4.88997555,-0.9
Canada,CAN,CAD,4.17,1.04235,4.000575622,40990.625,46792.249,2010-07-01,7.197943445,1.8
Canada,CAN,CAD,4.73,0.94585,5.000792938,47627.345,49061.535,2011-07-01,13.42925659,2.7
Canada,CAN,CAD,5.12,1.01945,5.022315955,52285.937,51724.29,2012-07-01,8.245243129,1.3
Canada,CAN,CAD,5.53,1.05125,5.260404281,52744.004,52710.498,2013-07-01,8.0078125,1.3
Canada,CAN,CAD,5.64,1.07405,5.251152181,52708.61,54297.108,2014-07-01,1.98915009,2.1
Canada,CAN,CAD,5.85,1.2897,4.53593859,51020.843,56365.13,2015-07-01,3.723404255,1.3
Canada,CAN,CAD,6,1.303,4.60475825,43626.47,55788.928,2016-07-01,2.564102564,1.3
Canada,CAN,CAD,5.97,1.2823,4.655696795,42382.635,56183.063,2017-07-01,-0.5,1.2
Canada,CAN,CAD,6.65,1.31235,5.06724578,45191.993,58656.308,2018-07-01,11.39028476,3
Canada,CAN,CAD,6.77,1.31305,5.155934656,46625.859,60418.624,2019-07-09,1.804511278,2
Canada,CAN,CAD,6.88,1.3552,5.07674144,46403.986,61568.501,2020-07-01,1.624815362,0.1
Canada,CAN,CAD,6.77,1.2741,5.313554666,43306.635,58080.81,2021-07-01,-1.598837209,3.7
Canada,CAN,CAD,6.77,1.28915,5.251522321,52078.515,65300.047,2022-07-01,0,7.6
Japan,JPN,JPY,294,106,2.773584906,36622.885,4171595.819,2000-04-01,,
Japan,JPN,JPY,294,124,2.370967742,39172.963,4221493.9,2001-04-01,0,-0.74
Japan,JPN,JPY,262,130,2.015384615,34410.68,4181893.67,2002-04-01,-10.88435374,-0.92
Japan,JPN,JPY,262,120,2.183333333,32832.296,4116776.513,2003-04-01,0,-0.26
Japan,JPN,JPY,262,113,2.318584071,35410.222,4105229.715,2004-05-01,0,-0.01
Japan,JPN,JPY,250,106.715,2.342688469,38307.096,4144543.137,2005-06-01,-4.580152672,-0.28
Japan,JPN,JPY,250,112.105,2.230052183,37819.1,4168353.529,2006-05-01,0,0.25
Japan,JPN,JPY,280,122.315,2.289171402,36021.9,4189322.191,2007-06-01,12,0.06
Japan,JPN,JPY,280,106.855,2.620373403,35847.226,4221137.325,2008-06-01,0,1.38
Japan,JPN,JPY,320,92.565,3.457030195,39992.06,4133559.049,2009-07-01,14.28571429,-1.35
Japan,JPN,JPY,320,87.18,3.670566644,41469.773,3880330.353,2010-07-01,0,-0.73
Japan,JPN,JPY,320,78.365,4.083455624,45135.796,3962014.51,2011-07-01,0,-0.27
Japan,JPN,JPY,320,78.22,4.091025313,48760.905,3891462.545,2012-07-01,0,-0.04
Japan,JPN,JPY,320,100.105,3.196643524,49175.054,3923699.988,2013-07-01,0,0.34
Japan,JPN,JPY,370,101.53,3.644243081,40934.756,3995054.421,2014-07-01,15.625,2.76
Japan,JPN,JPY,370,123.935,2.985435914,38522.771,4081286.506,2015-07-01,0,0.8
Japan,JPN,JPY,370,106.725,3.466854064,35005.656,4237225.493,2016-07-01,0,-0.13
Japan,JPN,JPY,380,113.06,3.361047232,39411.424,4287683.071,2017-07-01,2.702702703,0.48
Japan,JPN,JPY,390,111.25,3.505617978,38903.298,4363632.777,2018-07-01,2.631578947,0.99
Japan,JPN,JPY,390,108.765,3.585712316,39826.248,4397740.892,2019-07-09,0,0.47
Japan,JPN,JPY,390,107.275,3.635516197,40590.142,4424717.806,2020-07-01,0,-0.02
Japan,JPN,JPY,390,109.935,3.547550825,40048.93,4276207.749,2021-07-01,0,-0.23
Japan,JPN,JPY,390,137.865,2.828854314,39339.836,4317717.144,2022-07-01,0,2.5
Britain,GBR,GBP,1.9,0.632911392,3.002000002,28733.206,17755.606,2000-04-01,,
Britain,GBR,GBP,1.99,0.699300699,2.845700001,28279.663,18654.689,2001-04-01,4.736842105,1.5
Britain,GBR,GBP,1.99,0.689655172,2.885500002,27816.748,19319.321,2002-04-01,0,1.6
Britain,GBR,GBP,1.99,0.632911392,3.144200002,30099.602,20050.803,2003-04-01,0,1.5
Britain,GBR,GBP,1.88,0.558659218,3.365199999,34524.996,21127.32,2004-05-01,-5.527638191,1.4
Britain,GBR,GBP,1.88,0.546448087,3.440400003,40415.48,22064.971,2005-06-01,0,2
Britain,GBR,GBP,1.94,0.531801744,3.647976002,42171.202,23168.126,2006-05-01,3.191489362,2.4
Britain,GBR,GBP,1.99,0.496610632,4.007163503,44731.564,24277.41,2007-06-01,2.577319588,2.5
Britain,GBR,GBP,2.29,0.501039657,4.570496503,50675.532,25317.928,2008-06-01,15.07537688,3.7
Britain,GBR,GBP,2.29,0.620886626,3.688274001,48038.966,25859.731,2009-07-01,0,1.6
Britain,GBR,GBP,2.29,0.657375756,3.483548,39101.208,25009.557,2010-07-01,0,2.3
Britain,GBR,GBP,2.39,0.614137444,3.891637,39731.624,25688.257,2011-07-01,4.366812227,3.8
Britain,GBR,GBP,2.69,0.646266197,4.1623715,42281.87,26380.801,2012-07-01,12.55230126,2.4
Britain,GBR,GBP,2.69,0.669142494,4.020070499,42691.188,27020.721,2013-07-01,0,2.5
Britain,GBR,GBP,2.89,0.586785589,4.925137996,43757.447,27971.719,2014-07-01,7.434944238,1.6
Britain,GBR,GBP,2.89,0.640450877,4.512446003,47816.045,29044.104,2015-07-01,0,0.5
Britain,GBR,GBP,2.99,0.758840492,3.940221999,45418.935,29722.193,2016-07-01,3.460207612,0.9
Britain,GBR,GBP,3.19,0.775885479,4.111431502,41630.457,30718.956,2017-07-01,6.688963211,2.6
Britain,GBR,GBP,3.19,0.753863551,4.231534998,40903.517,31755.648,2018-07-01,0,2.3
Britain,GBR,GBP,3.29,0.802181935,4.101313999,43718.965,32728.942,2019-07-09,3.134796238,2
Britain,GBR,GBP,3.39,0.79255003,4.277332498,43121.056,33763.238,2020-07-01,3.039513678,1.1
Britain,GBR,GBP,3.49,0.734672887,4.750413499,41127.443,32056.484,2021-07-01,2.949852507,2.1
Britain,GBR,GBP,3.69,0.83108,4.440005776,47202.581,34311.091,2022-07-01,5.730659026,8.8
