name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,big_mac_index,inflation_rate
Japan,JPN,JPY,294,106,36622.885,4171595.819,2000-04-01,,
Japan,JPN,JPY,294,124,39172.963,4221493.9,2001-04-01,0,-0.74
Japan,JPN,JPY,262,130,34410.68,4181893.67,2002-04-01,-10.88435374,-0.92
Japan,JPN,JPY,262,120,32832.296,4116776.513,2003-04-01,0,-0.26
Japan,JPN,JPY,262,113,35410.222,4105229.715,2004-05-01,0,-0.01
Japan,JPN,JPY,250,106.715,38307.096,4144543.137,2005-06-01,-4.580152672,-0.28
Japan,JPN,JPY,250,112.105,37819.1,4168353.529,2006-05-01,0,0.25
Japan,JPN,JPY,280,122.315,36021.9,4189322.191,2007-06-01,12,0.06
Japan,JPN,JPY,280,106.855,35847.226,4221137.325,2008-06-01,0,1.38
Japan,JPN,JPY,320,92.565,39992.06,4133559.049,2009-07-01,14.28571429,-1.35
Japan,JPN,JPY,320,87.18,41469.773,3880330.353,2010-07-01,0,-0.73
Japan,JPN,JPY,320,78.365,45135.796,3962014.51,2011-07-01,0,-0.27
Japan,JPN,JPY,320,78.22,48760.905,3891462.545,2012-07-01,0,-0.04
Japan,JPN,JPY,320,100.105,49175.054,3923699.988,2013-07-01,0,0.34
Japan,JPN,JPY,370,101.53,40934.756,3995054.421,2014-07-01,15.625,2.76
Japan,JPN,JPY,370,123.935,38522.771,4081286.506,2015-07-01,0,0.8
Japan,JPN,JPY,370,106.725,35005.656,4237225.493,2016-07-01,0,-0.13
Japan,JPN,JPY,380,113.06,39411.424,4287683.071,2017-07-01,2.702702703,0.48
Japan,JPN,JPY,390,111.25,38903.298,4363632.777,2018-07-01,2.631578947,0.99
Japan,JPN,JPY,390,108.765,39826.248,4397740.892,2019-07-09,0,0.47
Japan,JPN,JPY,390,107.275,40590.142,4424717.806,2020-07-01,0,-0.02
Japan,JPN,JPY,390,109.935,40048.93,4276207.749,2021-07-01,0,-0.23
Japan,JPN,JPY,390,137.865,39339.836,4317717.144,2022-07-01,0,2.5
